[1103/073545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073641:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073705:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073726:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073758:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073818:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073943:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074021:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074051:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074142:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074206:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074221:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074319:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074341:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074435:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074517:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074534:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074554:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074624:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074647:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074716:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074739:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074755:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074833:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074851:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/074932:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075010:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075029:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075052:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075120:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075144:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075217:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075241:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075355:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075411:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075527:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075542:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075604:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075633:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075657:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075721:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075747:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075820:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075842:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/075934:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/080014:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/080028:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/080046:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/080112:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/080135:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/095344:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/095407:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/095423:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/100003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/100021:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/100100:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/100139:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/100154:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/100212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/100240:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/105344:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/105430:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/105541:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/105603:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/105626:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/105813:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/110039:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/110221:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/110435:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/110722:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/110908:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/111811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/114113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/114615:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/114917:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/115218:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/115505:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/115606:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/115722:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/115901:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/121118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/121558:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/121913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/122705:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/123131:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/123545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/125516:ERROR:file_io.cc(30)] read: expected 4, observed 0
